S No.,Value Date,Transaction Date,Withdrawal Amount(INR),Deposit Amount(INR),Balance(INR),
1,"17,10,2024","17,10,2024",774.63,0.00,17216.40,
2,"17,10,2024","17,10,2024",281.03,0.00,16935.37,
3,"17,10,2024","17,10,2024",0.00,774.63,17710.00,
4,"17,10,2024","17,10,2024",692.02,0.00,17017.98,
5,"17,10,2024","17,10,2024",131.00,0.00,16886.98,
6,"17,10,2024","17,10,2024",238.00,0.00,16648.98,
7,"17,10,2024","17,10,2024",27.00,0.00,16621.98,
8,"17,10,2024","17,10,2024",36.00,0.00,16585.98,
9,"17,10,2024","17,10,2024",33.00,0.00,16552.98,
10,"18,10,2024","18,10,2024",112.00,0.00,16440.98,
11,"18,10,2024","18,10,2024",119.00,0.00,16321.98,
12,"18,10,2024","18,10,2024",50.00,0.00,16271.98,
13,"18,10,2024","18,10,2024",34.00,0.00,16237.98,
14,"18,10,2024","18,10,2024",27.00,0.00,16210.98,
15,"18,10,2024","18,10,2024",110.00,0.00,16100.98,
16,"19,10,2024","19,10,2024",111.00,0.00,15989.98,
,,,,,,
17,"19,10,2024","19,10,2024",119.00,0.00,15870.98,
18,"19,10,2024","19,10,2024",36.00,0.00,15834.98,
19,"19,10,2024","19,10,2024",27.00,0.00,15807.98,
20,"19,10,2024","19,10,2024",13443.35,0.00,2364.63,
21,"21,10,2024","21,10,2024",169.00,0.00,2195.63,
22,"21,10,2024","21,10,2024",119.00,0.00,2076.63,
23,"21,10,2024","21,10,2024",27.00,0.00,2049.63,
24,"22,10,2024","22,10,2024",119.00,0.00,1930.63,
25,"22,10,2024","22,10,2024",27.00,0.00,1903.63,
26,"23,10,2024","23,10,2024",119.00,0.00,1784.63,
27,"23,10,2024","23,10,2024",24.00,0.00,1760.63,
28,"23,10,2024","23,10,2024",27.00,0.00,1733.63,
29,"23,10,2024","23,10,2024",27.00,0.00,1706.63,
30,"23,10,2024","23,10,2024",0.00,27.00,1733.63,
31,"23,10,2024","23,10,2024",0.00,27.00,1760.63,
32,"24,10,2024","24,10,2024",119.00,0.00,1641.63,
33,"24,10,2024","24,10,2024",50.00,0.00,1591.63,
34,"24,10,2024","24,10,2024",36.00,0.00,1555.63,
35,"28,10,2024","28,10,2024",119.00,0.00,1436.63,
